@relation SMILEfeatures

@attribute name string
@attribute pcm_LOGenergy_sma_linregerrA numeric
@attribute pcm_LOGenergy_sma_qregc3 numeric
@attribute pcm_LOGenergy_sma_linregerrA numeric

@data
'fixed_1 Dziaugsmas_55',2.059257,-13.42351,2.059257
'fixed_1 Dziaugsmas_56',1.984127,-13.43586,1.984127
'fixed_1 Dziaugsmas_57',2.132227,-13.10676,2.132227
'fixed_1 Dziaugsmas_58',1.733951,-13.47477,1.733951
'fixed_1 Dziaugsmas_59',1.747155,-13.26983,1.747155
'fixed_1 Dziaugsmas_60',1.99025,-11.83636,1.99025
'fixed_1 Dziaugsmas_61',1.609734,-11.08992,1.609734
'fixed_1 Dziaugsmas_62',1.513157,-15.57579,1.513157
'fixed_1 Dziaugsmas_63',1.512049,-13.70755,1.512049
'fixed_1 Dziaugsmas_64',1.828658,-12.88879,1.828658
'fixed_1 Dziaugsmas_65',1.94888,-13.94993,1.94888
'fixed_1 Dziaugsmas_66',1.693323,-13.47543,1.693323
'fixed_1 Dziaugsmas_67',2.125868,-13.7174,2.125868
'fixed_1 Dziaugsmas_68',1.688455,-12.92946,1.688455
'fixed_1 Dziaugsmas_69',1.607341,-12.73386,1.607341
'fixed_1 Dziaugsmas_70',1.927442,-13.47869,1.927442
'fixed_1 Dziaugsmas_71',1.898531,-13.23806,1.898531
'fixed_1 Dziaugsmas_72',1.785884,-14.42265,1.785884
'fixed_1 Dziaugsmas_73',1.855358,-13.11757,1.855358
'fixed_1 Dziaugsmas_74',1.745404,-13.11981,1.745404
'fixed_1 Dziaugsmas_75',1.791494,-12.92051,1.791494
'fixed_1 Dziaugsmas_76',1.574774,-11.72146,1.574774
'fixed_1 Dziaugsmas_77',1.798027,-12.70448,1.798027
'fixed_1 Dziaugsmas_78',2.425786,-12.82451,2.425786
'fixed_1 Dziaugsmas_79',1.940706,-12.71745,1.940706
'fixed_1 Dziaugsmas_80',1.845729,-12.44415,1.845729
'fixed_1 Dziaugsmas_81',1.897916,-13.14333,1.897916
'fixed_1 Dziaugsmas_82',1.678825,-12.57508,1.678825
'fixed_1 Dziaugsmas_83',1.568685,-12.3231,1.568685
'fixed_1 Dziaugsmas_84',1.913273,-13.24584,1.913273
'fixed_1 Dziaugsmas_85',1.649996,-13.07848,1.649996
'fixed_1 Dziaugsmas_86',1.695165,-13.64033,1.695165
'fixed_1 Dziaugsmas_87',1.703802,-13.38532,1.703802
'fixed_1 Dziaugsmas_88',1.927689,-12.72723,1.927689
'fixed_1 Dziaugsmas_89',1.597183,-12.83612,1.597183
'fixed_1 Dziaugsmas_90',1.829696,-12.79013,1.829696
'fixed_1 Dziaugsmas_91',1.902829,-13.7737,1.902829
'fixed_1 Dziaugsmas_92',1.712753,-13.39005,1.712753
'fixed_1 Dziaugsmas_93',1.989887,-13.43307,1.989887
'fixed_1 Dziaugsmas_94',1.790313,-13.54,1.790313
'fixed_1 Dziaugsmas_95',1.716279,-12.84522,1.716279
'fixed_1 Dziaugsmas_96',1.922552,-13.86838,1.922552
'fixed_1 Dziaugsmas_97',1.345276,-12.14927,1.345276
'fixed_1 Dziaugsmas_98',1.771462,-12.30517,1.771462
'fixed_1 Dziaugsmas_99',2.000726,-13.29812,2.000726
'fixed_1 Liudesys_01',1.43271,-15.97955,1.43271
'fixed_1 Liudesys_02',1.232458,-14.82104,1.232458
'fixed_1 Liudesys_03',1.490906,-15.72291,1.490906
'fixed_1 Liudesys_04',1.802526,-12.961,1.802526
'fixed_1 Liudesys_05',1.667611,-13.71687,1.667611
'fixed_1 Liudesys_06',1.48253,-15.72388,1.48253
'fixed_1 Liudesys_07',1.43672,-15.33786,1.43672
'fixed_1 Liudesys_08',1.30798,-13.77197,1.30798
'fixed_1 Liudesys_09',1.490423,-13.2382,1.490423
'fixed_1 Liudesys_10',1.720656,-13.9414,1.720656
'fixed_1 Liudesys_100',1.54869,-14.10349,1.54869
'fixed_1 Liudesys_11',1.312088,-13.10705,1.312088
'fixed_1 Liudesys_12',1.552021,-12.7458,1.552021
'fixed_1 Liudesys_13',1.72808,-13.19127,1.72808
'fixed_1 Liudesys_14',1.497976,-12.00123,1.497976
'fixed_1 Liudesys_15',1.801833,-13.75885,1.801833
'fixed_1 Liudesys_16',1.628448,-14.22454,1.628448
'fixed_1 Liudesys_17',1.484851,-12.99202,1.484851
'fixed_1 Liudesys_18',1.499278,-14.27041,1.499278
'fixed_1 Liudesys_19',1.735547,-14.35708,1.735547
'fixed_1 Liudesys_20',1.683939,-14.58563,1.683939
'fixed_1 Liudesys_21',1.591702,-13.39539,1.591702
'fixed_1 Liudesys_22',1.983168,-13.60886,1.983168
'fixed_1 Liudesys_23',1.50631,-15.42868,1.50631
'fixed_1 Liudesys_24',1.518153,-13.47754,1.518153
'fixed_1 Liudesys_25',1.748378,-12.90347,1.748378
'fixed_1 Liudesys_26',1.879175,-13.11865,1.879175
'fixed_1 Liudesys_27',1.854368,-13.43567,1.854368
'fixed_1 Liudesys_28',1.518243,-14.57788,1.518243
'fixed_1 Liudesys_29',1.652367,-12.60056,1.652367
'fixed_1 Liudesys_30',1.471149,-14.42567,1.471149
'fixed_1 Liudesys_31',1.69854,-14.09732,1.69854
'fixed_1 Liudesys_32',1.295851,-14.18027,1.295851
'fixed_1 Liudesys_33',1.671923,-14.20827,1.671923
'fixed_1 Liudesys_34',1.686579,-13.83786,1.686579
'fixed_1 Liudesys_35',1.403251,-12.75782,1.403251
'fixed_1 Liudesys_36',1.625407,-13.1247,1.625407
'fixed_1 Liudesys_37',1.350832,-13.80994,1.350832
'fixed_1 Liudesys_38',1.461252,-12.2312,1.461252
'fixed_1 Liudesys_39',1.76488,-13.71782,1.76488
'fixed_1 Liudesys_40',1.416277,-13.45982,1.416277
'fixed_1 Liudesys_41',1.873394,-13.35919,1.873394
'fixed_1 Liudesys_42',1.545724,-12.66844,1.545724
'fixed_1 Liudesys_43',1.772848,-13.30069,1.772848
'fixed_1 Liudesys_44',1.626189,-12.73276,1.626189
'fixed_1 Liudesys_45',1.829281,-14.66602,1.829281
'fixed_1 Liudesys_46',1.430913,-13.50212,1.430913
'fixed_1 Liudesys_47',1.537428,-12.36467,1.537428
'fixed_1 Liudesys_48',1.47204,-12.66229,1.47204
'fixed_1 Liudesys_49',1.537495,-12.25248,1.537495
'fixed_1 Liudesys_50',1.42931,-12.63488,1.42931
'fixed_1 Liudesys_51',1.858665,-13.7213,1.858665
'fixed_1 Liudesys_52',1.998221,-15.18068,1.998221
'fixed_1 Liudesys_53',1.796311,-13.23666,1.796311
'fixed_1 Liudesys_54',1.670472,-13.82973,1.670472
'fixed_1 Liudesys_55',2.00417,-13.39752,2.00417
'fixed_1 Liudesys_56',1.883077,-12.44002,1.883077
'fixed_1 Liudesys_57',1.912624,-14.2097,1.912624
'fixed_1 Liudesys_58',1.743725,-13.87837,1.743725
'fixed_1 Liudesys_59',1.673562,-13.39869,1.673562
'fixed_1 Liudesys_60',1.585603,-12.2083,1.585603
'fixed_1 Liudesys_61',1.657474,-11.62699,1.657474
'fixed_1 Liudesys_62',1.717391,-14.32761,1.717391
'fixed_1 Liudesys_63',1.926426,-13.84296,1.926426
'fixed_1 Liudesys_64',2.331218,-12.29633,2.331218
'fixed_1 Liudesys_65',1.884335,-14.38649,1.884335
'fixed_1 Liudesys_66',1.533884,-13.36846,1.533884
'fixed_1 Liudesys_67',1.83906,-14.09816,1.83906
'fixed_1 Liudesys_68',1.860255,-13.1095,1.860255
'fixed_1 Liudesys_69',1.83527,-12.47789,1.83527
'fixed_1 Liudesys_70',2.059496,-14.11766,2.059496
'fixed_1 Liudesys_71',1.562212,-13.84591,1.562212
'fixed_1 Liudesys_72',1.647069,-14.63173,1.647069
'fixed_1 Liudesys_73',1.651572,-13.09616,1.651572
'fixed_1 Liudesys_74',1.71039,-13.22936,1.71039
'fixed_1 Liudesys_75',1.685001,-13.18753,1.685001
'fixed_1 Liudesys_76',1.55776,-13.11557,1.55776
'fixed_1 Liudesys_77',1.809467,-13.43696,1.809467
'fixed_1 Liudesys_78',1.659872,-14.03018,1.659872
'fixed_1 Liudesys_79',1.679972,-11.70907,1.679972
'fixed_1 Liudesys_80',1.66678,-14.4472,1.66678
'fixed_1 Liudesys_81',1.548404,-14.30337,1.548404
'fixed_1 Liudesys_82',1.457859,-13.77478,1.457859
'fixed_1 Liudesys_83',1.61018,-13.81738,1.61018
'fixed_1 Liudesys_84',1.616831,-13.17523,1.616831
'fixed_1 Liudesys_85',1.591718,-13.92863,1.591718
'fixed_1 Liudesys_86',1.655878,-14.05966,1.655878
'fixed_1 Liudesys_87',1.586121,-13.74602,1.586121
'fixed_1 Liudesys_88',1.705625,-14.36278,1.705625
'fixed_1 Liudesys_89',1.762636,-14.81053,1.762636
'fixed_1 Liudesys_90',1.765822,-13.83231,1.765822
'fixed_1 Liudesys_91',1.733484,-15.20153,1.733484
'fixed_1 Liudesys_92',1.401263,-13.58993,1.401263
'fixed_1 Liudesys_93',1.724276,-14.22927,1.724276
'fixed_1 Liudesys_94',1.736958,-14.11056,1.736958
'fixed_1 Liudesys_95',1.509677,-14.57702,1.509677
'fixed_1 Liudesys_96',1.856372,-14.21076,1.856372
'fixed_1 Liudesys_97',1.716694,-12.59279,1.716694
'fixed_1 Liudesys_98',1.74484,-13.46987,1.74484
'fixed_1 Liudesys_99',1.731459,-13.87261,1.731459
'fixed_1 Neutrali_01',2.131943,-16.99216,2.131943
'fixed_1 Neutrali_02',1.402432,-12.41447,1.402432
'fixed_1 Neutrali_03',1.809368,-13.7044,1.809368
'fixed_1 Neutrali_04',2.005795,-11.96456,2.005795
'fixed_1 Neutrali_05',1.844456,-11.24657,1.844456
'fixed_1 Neutrali_06',1.799858,-12.51971,1.799858
'fixed_1 Neutrali_07',1.670978,-14.10683,1.670978
'fixed_1 Neutrali_08',1.67068,-13.2073,1.67068
'fixed_1 Neutrali_09',1.607975,-12.10991,1.607975
'fixed_1 Neutrali_10',1.665458,-12.82765,1.665458
'fixed_1 Neutrali_100',1.421046,-15.50408,1.421046
'fixed_1 Neutrali_11',1.143754,-14.25473,1.143754
'fixed_1 Neutrali_12',2.091727,-13.4742,2.091727
'fixed_1 Neutrali_13',1.913938,-15.56174,1.913938
'fixed_1 Neutrali_14',1.81418,-13.51949,1.81418
'fixed_1 Neutrali_15',2.013453,-12.49283,2.013453
'fixed_1 Neutrali_16',1.325118,-12.97985,1.325118
'fixed_1 Neutrali_17',1.555429,-13.86415,1.555429
'fixed_1 Neutrali_18',1.585138,-14.19307,1.585138
'fixed_1 Neutrali_19',1.652327,-13.42049,1.652327
'fixed_1 Neutrali_20',2.113328,-14.54002,2.113328
'fixed_1 Neutrali_21',1.641629,-13.43471,1.641629
'fixed_1 Neutrali_22',2.225469,-12.59109,2.225469
'fixed_1 Neutrali_23',1.851879,-12.80954,1.851879
'fixed_1 Neutrali_24',1.480506,-12.46233,1.480506
'fixed_1 Neutrali_25',1.694959,-14.34489,1.694959
'fixed_1 Neutrali_26',1.772954,-13.50894,1.772954
'fixed_1 Neutrali_27',1.251631,-14.33931,1.251631
'fixed_1 Neutrali_28',2.123586,-16.13167,2.123586
'fixed_1 Neutrali_29',1.498431,-14.49251,1.498431
'fixed_1 Neutrali_30',1.740095,-15.33404,1.740095
'fixed_1 Neutrali_31',1.614581,-13.06327,1.614581
'fixed_1 Neutrali_32',1.448205,-13.15212,1.448205
'fixed_1 Neutrali_33',1.582044,-12.90835,1.582044
'fixed_1 Neutrali_34',1.51887,-14.44215,1.51887
'fixed_1 Neutrali_35',1.459267,-13.82683,1.459267
'fixed_1 Neutrali_36',1.521051,-13.38741,1.521051
'fixed_1 Neutrali_37',1.620439,-14.22569,1.620439
'fixed_1 Neutrali_38',1.686648,-13.64763,1.686648
'fixed_1 Neutrali_39',1.292966,-14.66871,1.292966
'fixed_1 Neutrali_40',1.636642,-13.86096,1.636642
'fixed_1 Neutrali_41',1.782233,-13.81557,1.782233
'fixed_1 Neutrali_42',1.757735,-15.66662,1.757735
'fixed_1 Neutrali_43',1.810675,-15.84103,1.810675
'fixed_1 Neutrali_44',1.922783,-15.43621,1.922783
'fixed_1 Neutrali_45',1.969389,-15.16075,1.969389
'fixed_1 Neutrali_46',1.571908,-14.95535,1.571908
'fixed_1 Neutrali_47',1.973272,-14.69478,1.973272
'fixed_1 Neutrali_48',1.971977,-14.17031,1.971977
'fixed_1 Neutrali_49',1.731834,-13.3874,1.731834
'fixed_1 Neutrali_50',1.617762,-15.90046,1.617762
'fixed_1 Neutrali_51',1.758376,-14.96473,1.758376
'fixed_1 Neutrali_52',1.803515,-14.78874,1.803515
'fixed_1 Neutrali_53',1.69058,-13.93555,1.69058
'fixed_1 Neutrali_54',1.376263,-13.51341,1.376263
'fixed_1 Neutrali_55',1.597718,-13.35729,1.597718
'fixed_1 Neutrali_56',1.558854,-13.853,1.558854
'fixed_1 Neutrali_57',1.882451,-16.79008,1.882451
'fixed_1 Neutrali_58',1.647754,-15.88636,1.647754
'fixed_1 Neutrali_59',1.647276,-15.83938,1.647276
'fixed_1 Neutrali_60',1.510742,-14.43083,1.510742
'fixed_1 Neutrali_61',1.891717,-14.86757,1.891717
'fixed_1 Neutrali_62',1.655763,-15.34787,1.655763
'fixed_1 Neutrali_63',1.802133,-14.76812,1.802133
'fixed_1 Neutrali_64',1.722046,-13.69885,1.722046
'fixed_1 Neutrali_65',1.825901,-15.16941,1.825901
'fixed_1 Neutrali_66',1.525146,-14.65033,1.525146
'fixed_1 Neutrali_67',1.633523,-14.55155,1.633523
'fixed_1 Neutrali_68',1.483914,-14.63874,1.483914
'fixed_1 Neutrali_69',1.368023,-14.96357,1.368023
'fixed_1 Neutrali_70',1.660358,-16.30082,1.660358
'fixed_1 Neutrali_71',1.52495,-14.80496,1.52495
'fixed_1 Neutrali_72',1.618754,-15.8016,1.618754
'fixed_1 Neutrali_73',1.539492,-14.53447,1.539492
'fixed_1 Neutrali_74',1.516931,-15.03647,1.516931
'fixed_1 Neutrali_75',1.456141,-13.73517,1.456141
'fixed_1 Neutrali_76',1.361815,-14.54924,1.361815
'fixed_1 Neutrali_77',1.563728,-13.7963,1.563728
'fixed_1 Neutrali_78',1.547901,-14.91417,1.547901
'fixed_1 Neutrali_79',1.836566,-14.61525,1.836566
'fixed_1 Neutrali_80',1.741025,-15.11629,1.741025
'fixed_1 Neutrali_81',1.525176,-15.71926,1.525176
'fixed_1 Neutrali_82',1.553891,-14.63875,1.553891
'fixed_1 Neutrali_83',1.650334,-13.82867,1.650334
'fixed_1 Neutrali_84',1.541947,-15.19423,1.541947
'fixed_1 Neutrali_85',1.513791,-15.65067,1.513791
'fixed_1 Neutrali_86',1.518112,-14.81322,1.518112
'fixed_1 Neutrali_87',1.495696,-14.76285,1.495696
'fixed_1 Neutrali_88',1.950287,-15.55403,1.950287
'fixed_1 Neutrali_89',1.482598,-15.1866,1.482598
'fixed_1 Neutrali_90',1.889194,-15.70969,1.889194
'fixed_1 Neutrali_91',1.902123,-16.55426,1.902123
'fixed_1 Neutrali_92',1.657511,-13.60544,1.657511
'fixed_1 Neutrali_93',1.676941,-14.27315,1.676941
'fixed_1 Neutrali_94',1.767703,-13.70451,1.767703
'fixed_1 Neutrali_95',1.446361,-15.00292,1.446361
'fixed_1 Neutrali_96',1.687693,-15.36541,1.687693
'fixed_1 Neutrali_97',1.37789,-13.6078,1.37789
'fixed_1 Neutrali_98',1.674186,-14.44787,1.674186
'fixed_1 Neutrali_99',1.737501,-14.3139,1.737501
'fixed_1 Pyktis_01',1.8272,-12.86843,1.8272
'fixed_1 Pyktis_02',1.419315,-10.76901,1.419315
'fixed_1 Pyktis_03',1.824472,-13.45649,1.824472
'fixed_1 Pyktis_04',2.126103,-14.7856,2.126103
'fixed_1 Pyktis_05',1.965083,-13.16811,1.965083
'fixed_1 Pyktis_06',1.885193,-12.45812,1.885193
'fixed_1 Pyktis_07',1.844113,-14.38932,1.844113
'fixed_1 Pyktis_08',1.696923,-13.09624,1.696923
'fixed_1 Pyktis_09',1.5777,-11.48066,1.5777
'fixed_1 Pyktis_10',1.939435,-13.81593,1.939435
'fixed_1 Pyktis_100',1.71638,-13.16325,1.71638
'fixed_1 Pyktis_11',1.542325,-11.81449,1.542325
'fixed_1 Pyktis_12',1.817496,-13.23187,1.817496
'fixed_1 Pyktis_13',1.892011,-12.58886,1.892011
'fixed_1 Pyktis_14',1.784695,-12.25759,1.784695
'fixed_1 Pyktis_15',1.880779,-12.67831,1.880779
'fixed_1 Pyktis_16',1.943988,-13.07463,1.943988
'fixed_1 Pyktis_17',1.48057,-12.46737,1.48057
'fixed_1 Pyktis_18',1.590016,-12.63865,1.590016
'fixed_1 Pyktis_19',1.626313,-12.58688,1.626313
'fixed_1 Pyktis_20',1.949433,-13.72422,1.949433
'fixed_1 Pyktis_21',2.162423,-13.97481,2.162423
'fixed_1 Pyktis_22',1.642271,-13.288,1.642271
'fixed_1 Pyktis_23',1.839115,-13.78526,1.839115
'fixed_1 Pyktis_24',1.573489,-13.31742,1.573489
'fixed_1 Pyktis_25',2.015574,-11.02797,2.015574
'fixed_1 Pyktis_26',1.671993,-12.02397,1.671993
'fixed_1 Pyktis_27',1.99965,-13.74079,1.99965
'fixed_1 Pyktis_28',1.561734,-12.45072,1.561734
'fixed_1 Pyktis_29',1.930795,-13.02657,1.930795
'fixed_1 Pyktis_30',1.645215,-12.70179,1.645215
'fixed_1 Pyktis_31',1.804627,-12.22832,1.804627
'fixed_1 Pyktis_32',1.574026,-10.37828,1.574026
'fixed_1 Pyktis_33',1.617745,-12.50779,1.617745
'fixed_1 Pyktis_34',1.65225,-12.30404,1.65225
'fixed_1 Pyktis_35',1.883595,-13.54933,1.883595
'fixed_1 Pyktis_36',1.57242,-11.92464,1.57242
'fixed_1 Pyktis_37',1.543836,-12.75041,1.543836
'fixed_1 Pyktis_38',1.762874,-12.47529,1.762874
'fixed_1 Pyktis_39',1.862084,-13.17607,1.862084
'fixed_1 Pyktis_40',1.767232,-12.20266,1.767232
'fixed_1 Pyktis_41',1.690197,-13.82995,1.690197
'fixed_1 Pyktis_42',1.781064,-12.76511,1.781064
'fixed_1 Pyktis_43',1.982262,-13.53116,1.982262
'fixed_1 Pyktis_44',1.631907,-13.58534,1.631907
'fixed_1 Pyktis_45',2.205676,-12.82024,2.205676
'fixed_1 Pyktis_46',1.787836,-12.79544,1.787836
'fixed_1 Pyktis_47',1.555289,-11.65747,1.555289
'fixed_1 Pyktis_48',1.490598,-11.40848,1.490598
'fixed_1 Pyktis_49',1.475904,-11.30259,1.475904
'fixed_1 Pyktis_50',1.721008,-14.01694,1.721008
'fixed_1 Pyktis_51',1.979344,-13.89334,1.979344
'fixed_1 Pyktis_52',1.87826,-12.74704,1.87826
'fixed_1 Pyktis_53',1.713592,-12.64441,1.713592
'fixed_1 Pyktis_54',1.732538,-12.47097,1.732538
'fixed_1 Pyktis_55',1.917598,-12.55409,1.917598
'fixed_1 Pyktis_56',1.778654,-12.87006,1.778654
'fixed_1 Pyktis_57',1.731023,-14.11589,1.731023
'fixed_1 Pyktis_58',1.735445,-14.20985,1.735445
'fixed_1 Pyktis_59',1.624714,-13.44624,1.624714
'fixed_1 Pyktis_60',1.597343,-12.55517,1.597343
'fixed_1 Pyktis_61',1.710125,-11.52309,1.710125
'fixed_1 Pyktis_62',1.654916,-14.28116,1.654916
'fixed_1 Pyktis_63',1.752049,-13.05911,1.752049
'fixed_1 Pyktis_64',1.886733,-13.91269,1.886733
'fixed_1 Pyktis_65',2.059281,-14.72871,2.059281
'fixed_1 Pyktis_66',1.380935,-12.1669,1.380935
'fixed_1 Pyktis_67',1.788574,-14.12958,1.788574
'fixed_1 Pyktis_68',1.78957,-13.97622,1.78957
'fixed_1 Pyktis_69',1.651632,-12.59651,1.651632
'fixed_1 Pyktis_70',2.076218,-13.95591,2.076218
'fixed_1 Pyktis_71',1.688574,-13.46425,1.688574
'fixed_1 Pyktis_72',1.74896,-12.44308,1.74896
'fixed_1 Pyktis_73',1.734617,-11.938,1.734617
'fixed_1 Pyktis_74',1.737111,-12.36033,1.737111
'fixed_1 Pyktis_75',1.5012,-11.67591,1.5012
'fixed_1 Pyktis_76',1.542727,-12.22918,1.542727
'fixed_1 Pyktis_77',1.708601,-11.18747,1.708601
'fixed_1 Pyktis_78',1.717695,-12.05149,1.717695
'fixed_1 Pyktis_79',1.890831,-12.5941,1.890831
'fixed_1 Pyktis_80',1.663537,-11.74919,1.663537
'fixed_1 Pyktis_81',1.784494,-13.77733,1.784494
'fixed_1 Pyktis_82',1.680814,-12.6672,1.680814
'fixed_1 Pyktis_83',1.585669,-12.01861,1.585669
'fixed_1 Pyktis_84',1.624758,-12.09887,1.624758
'fixed_1 Pyktis_85',1.734476,-12.81952,1.734476
'fixed_1 Pyktis_86',2.127913,-11.85003,2.127913
'fixed_1 Pyktis_87',1.918568,-13.87434,1.918568
'fixed_1 Pyktis_88',2.035432,-12.60769,2.035432
'fixed_1 Pyktis_89',1.551673,-12.32568,1.551673
'fixed_1 Pyktis_90',1.790389,-12.49078,1.790389
'fixed_1 Pyktis_91',1.973584,-13.52668,1.973584
'fixed_1 Pyktis_92',1.787947,-12.67271,1.787947
'fixed_1 Pyktis_93',2.020917,-14.19019,2.020917
'fixed_1 Pyktis_94',1.506953,-11.54801,1.506953
'fixed_1 Pyktis_95',1.720224,-13.20691,1.720224
'fixed_1 Pyktis_96',1.821506,-14.08297,1.821506
'fixed_1 Pyktis_97',1.705388,-13.07604,1.705388
'fixed_1 Pyktis_98',1.782591,-11.35543,1.782591
'fixed_1 Pyktis_99',1.931854,-11.93276,1.931854
'fixed_10 Dziaugsmas_01',2.175293,-15.4186,2.175293
'fixed_10 Dziaugsmas_02',2.605404,-18.29736,2.605404
'fixed_10 Dziaugsmas_03',2.061474,-17.39622,2.061474
'fixed_10 Dziaugsmas_04',2.793854,-18.63838,2.793854
'fixed_10 Dziaugsmas_05',2.198822,-14.96215,2.198822
'fixed_10 Dziaugsmas_06',2.274636,-17.46246,2.274636
'fixed_10 Dziaugsmas_07',1.729834,-15.19858,1.729834
'fixed_10 Dziaugsmas_08',2.238175,-17.4639,2.238175
'fixed_10 Dziaugsmas_09',1.856013,-17.44621,1.856013
'fixed_10 Dziaugsmas_10',2.114372,-17.10734,2.114372
'fixed_10 Dziaugsmas_11',1.82699,-15.61647,1.82699
'fixed_10 Dziaugsmas_12',2.181484,-15.0835,2.181484
'fixed_10 Dziaugsmas_13',2.326404,-17.96216,2.326404
'fixed_10 Dziaugsmas_14',2.429296,-17.21638,2.429296
'fixed_10 Dziaugsmas_15',2.323103,-15.62423,2.323103
'fixed_10 Dziaugsmas_16',2.763303,-18.72394,2.763303
'fixed_10 Dziaugsmas_17',2.759258,-17.74418,2.759258
'fixed_10 Dziaugsmas_18',2.944874,-19.22571,2.944874
'fixed_10 Dziaugsmas_19',2.527672,-17.65775,2.527672
'fixed_10 Dziaugsmas_20',2.429276,-17.26679,2.429276
'fixed_10 Dziaugsmas_21',2.517985,-17.93946,2.517985
'fixed_10 Dziaugsmas_22',2.15447,-15.0647,2.15447
'fixed_10 Dziaugsmas_23',2.171558,-16.42187,2.171558
'fixed_10 Dziaugsmas_24',2.130965,-15.51061,2.130965
'fixed_10 Dziaugsmas_25',2.330014,-15.33164,2.330014
'fixed_10 Dziaugsmas_26',2.314368,-15.19801,2.314368
'fixed_10 Dziaugsmas_27',2.545545,-15.69696,2.545545
'fixed_10 Dziaugsmas_28',2.170073,-16.34601,2.170073
'fixed_10 Dziaugsmas_29',2.580975,-16.73755,2.580975
'fixed_10 Dziaugsmas_30',2.135475,-15.07907,2.135475
'fixed_10 Dziaugsmas_31',1.90903,-12.45933,1.90903
'fixed_10 Dziaugsmas_32',2.2449,-17.09626,2.2449
